Entidad federativa;Grupo quinquenal de edad;Población
Sinaloa;90 a 94 años;5997
Sinaloa;95 a 99 años;1923
Sinaloa;100 años y más;403
Sinaloa;No especificado;2225
Sonora;Total;2944840
Sonora;0 a 4 años;218345
Sonora;5 a 9 años;246711
Sonora;10 a 14 años;258791
Sonora;15 a 19 años;255716
Sonora;20 a 24 años;247003
Sonora;25 a 29 años;227896
Sonora;30 a 34 años;215004
Sonora;35 a 39 años;207000
Sonora;40 a 44 años;203895
Sonora;45 a 49 años;192181
Sonora;50 a 54 años;170705
Sonora;55 a 59 años;140464
Sonora;60 a 64 años;121603
Sonora;65 a 69 años;87708
Sonora;70 a 74 años;61882
Sonora;75 a 79 años;41519
Sonora;80 a 84 años;26144
Sonora;85 a 89 años;13203
Sonora;90 a 94 años;4727
Sonora;95 a 99 años;1421
Sonora;100 años y más;197
Sonora;No especificado;2725
Tabasco;Total;2402598
Tabasco;0 a 4 años;206877
Tabasco;5 a 9 años;224058
Tabasco;10 a 14 años;222698
Tabasco;15 a 19 años;208660
Tabasco;20 a 24 años;188555
Tabasco;25 a 29 años;180324
Tabasco;30 a 34 años;181427
Tabasco;35 a 39 años;179476
Tabasco;40 a 44 años;167602
Tabasco;45 a 49 años;147298
Tabasco;50 a 54 años;130575
Tabasco;55 a 59 años;106647
Tabasco;60 a 64 años;84886
Tabasco;65 a 69 años;64809
Tabasco;70 a 74 años;41845
Tabasco;75 a 79 años;29521
Tabasco;80 a 84 años;18674
Tabasco;85 a 89 años;11315
Tabasco;90 a 94 años;4337
Tabasco;95 a 99 años;1677
Tabasco;100 años y más;461
Tabasco;No especificado;876
Tamaulipas;Total;3527735
Tamaulipas;0 a 4 años;271340
Tamaulipas;5 a 9 años;294344
Tamaulipas;10 a 14 años;305853
Tamaulipas;15 a 19 años;294950
Tamaulipas;20 a 24 años;284064
Tamaulipas;25 a 29 años;267261
Tamaulipas;30 a 34 años;256845
Tamaulipas;35 a 39 años;257220
Tamaulipas;40 a 44 años;248637
Tamaulipas;45 a 49 años;236202
Tamaulipas;50 a 54 años;211394
Tamaulipas;55 a 59 años;167744
Tamaulipas;60 a 64 años;139900
Tamaulipas;65 a 69 años;100333
Tamaulipas;70 a 74 años;73616
Tamaulipas;75 a 79 años;50993
Tamaulipas;80 a 84 años;33702
Tamaulipas;85 a 89 años;17930
Tamaulipas;90 a 94 años;7113
Tamaulipas;95 a 99 años;2287
Tamaulipas;100 años y más;353
Tamaulipas;No especificado;5654
Tlaxcala;Total;1342977
Tlaxcala;0 a 4 años;110460
Tlaxcala;5 a 9 años;117738
Tlaxcala;10 a 14 años;119718
Tlaxcala;15 a 19 años;121207
Tlaxcala;20 a 24 años;113937
Tlaxcala;25 a 29 años;104758
Tlaxcala;30 a 34 años;96512
Tlaxcala;35 a 39 años;94896
Tlaxcala;40 a 44 años;89448
Tlaxcala;45 a 49 años;80395
Tlaxcala;50 a 54 años;70782
Tlaxcala;55 a 59 años;56315
Tlaxcala;60 a 64 años;46505
Tlaxcala;65 a 69 años;33958
Tlaxcala;70 a 74 años;24495
Tlaxcala;75 a 79 años;17367
Tlaxcala;80 a 84 años;11591
Tlaxcala;85 a 89 años;7325
Tlaxcala;90 a 94 años;3217
Tlaxcala;95 a 99 años;1231
Tlaxcala;100 años y más;197
Tlaxcala;No especificado;20925
Veracruz de Ignacio de la Llave;Total;8062579
Veracruz de Ignacio de la Llave;0 a 4 años;600253
Veracruz de Ignacio de la Llave;5 a 9 años;675182
Veracruz de Ignacio de la Llave;10 a 14 años;685468
Veracruz de Ignacio de la Llave;15 a 19 años;681548
Veracruz de Ignacio de la Llave;20 a 24 años;600394
Veracruz de Ignacio de la Llave;25 a 29 años;580421
Veracruz de Ignacio de la Llave;30 a 34 años;568121
Veracruz de Ignacio de la Llave;35 a 39 años;558791
Veracruz de Ignacio de la Llave;40 a 44 años;537667
Veracruz de Ignacio de la Llave;45 a 49 años;516152
Veracruz de Ignacio de la Llave;50 a 54 años;488510
Veracruz de Ignacio de la Llave;55 a 59 años;408710
Veracruz de Ignacio de la Llave;60 a 64 años;347850
Veracruz de Ignacio de la Llave;65 a 69 años;279233
Veracruz de Ignacio de la Llave;70 a 74 años;203156
Veracruz de Ignacio de la Llave;75 a 79 años;145737
Veracruz de Ignacio de la Llave;80 a 84 años;95232
Veracruz de Ignacio de la Llave;85 a 89 años;54398
Veracruz de Ignacio de la Llave;90 a 94 años;21825
Veracruz de Ignacio de la Llave;95 a 99 años;8304
Veracruz de Ignacio de la Llave;100 años y más;2157
Veracruz de Ignacio de la Llave;No especificado;3470
Yucatán;Total;2320898
Yucatán;0 a 4 años;175986
Yucatán;5 a 9 años;186122
Yucatán;10 a 14 años;189137
Yucatán;15 a 19 años;196363
Yucatán;20 a 24 años;199525
Yucatán;25 a 29 años;190975
Yucatán;30 a 34 años;183035
Yucatán;35 a 39 años;174099
Yucatán;40 a 44 años;161231
Yucatán;45 a 49 años;146033
Yucatán;50 a 54 años;122358
Yucatán;55 a 59 años;103183
Yucatán;60 a 64 años;86773
Yucatán;65 a 69 años;72318
Yucatán;70 a 74 años;53224
Yucatán;75 a 79 años;35612
Yucatán;80 a 84 años;22476
Yucatán;85 a 89 años;12224
Yucatán;90 a 94 años;4647
Yucatán;95 a 99 años;1556
